Depth,ka_air ,Kh_klinkenberg corrected_kl,Kv_air ,Kv_klinkenberg corrected ,Porosity_He,Pore_Sw,main_lithology,Pore_Sw_decimal
3504.57,36.00,30.00,30.00,25.00,14.10,28.70,sandstone,0.287
3505.85,129.00,115.00,87.00,76.00,21.30,19.30,sandstone,0.193
3506.85,137.00,123.00,128.00,114.00,22.10,28.50,sandstone,0.285
3507.88,329.00,299.00,306.00,276.00,25.30,30.90,sandstone,0.309
3508.45,16.00,13.00,6.90,5.20,20.60,41.60,sandstone,0.416
3510.05,26.00,21.00,5.00,3.70,21.10,37.60,sandstone,0.376
3511.06,108.00,96.00,89.00,78.00,23.70,17.10,sandstone,0.171
3512.06,1.11,132.00,0.84,0.56,16.60,46.80,sandstone,0.468
3513.06,1.00,0.38,0.75,0.50,15.00,49.50,sandstone,0.495
3513.68,65.00,56.00,42.00,35.00,23.30,25.00,sandstone,0.25
3514.45,1.50,1.00,1.00,0.68,9.60,25.50,sandstone,0.255
3515.93,2.10,1.50,1.30,0.91,14.80,25.80,sandstone,0.258
3516.86,0.63,0.42,0.45,0.29,9.00,25.90,sandstone,0.259
3517.85,2.00,1.40,2.60,1.90,16.90,38.70,sandstone,0.387
3518.71,0.26,0.16,0.03,0.02,5.00,63.80,sandstone,0.638
3522.29,0.04,0.02,0.04,0.02,10.80,71.90,sandstone,0.719
3523.35,3.20,2.30,1.05,0.71,19.10,57.30,sandstone,0.573
3524.29,2.00,1.40,0.28,0.17,19.20,30.10,sandstone,0.301
3525.16,0.30,0.19,0.21,0.13,14.00,55.20,sandstone,0.552
3526.10,16.00,13.00,13.00,10.00,22.40,27.70,sandstone,0.277
3527.05,3.10,2.20,2.70,1.90,19.60,24.70,sandstone,0.247
3528.35,0.17,0.10,0.16,0.10,12.30,51.30,sandstone,0.513
3530.34,43.00,36.00,21.00,17.00,22.30,31.60,sandstone,0.316
3531.29,8.80,6.80,7.70,5.90,18.40,34.60,sandstone,0.346
3532.14,2.60,1.90,0.16,0.10,13.40,36.70,sandstone,0.367
3533.14,302.00,272.00,250.00,230.00,23.70,23.20,sandstone,0.232
3534.10,91.00,80.00,53.00,45.00,22.00,34.10,sandstone,0.341
3535.08,30.00,25.00,5.20,3.90,20.80,34.70,sandstone,0.347
3536.31,200.00,180.00,129.00,115.00,21.60,36.30,sandstone,0.363
3537.24,14.00,11.00,7.50,5.70,13.00,38.70,sandstone,0.387
3537.85,9.40,7.30,4.80,3.60,11.30,31.00,sandstone,0.31
3539.34,49.00,42.00,34.00,28.00,21.40,35.80,sandstone,0.358
3540.29,55.00,47.00,36.00,30.00,21.40,35.90,sandstone,0.359
3541.22,6.60,5.00,1.05,0.71,15.40,32.60,sandstone,0.326
3542.18,115.00,102.00,89.00,78.00,21.30,30.40,sandstone,0.304
3543.07,78.00,69.00,33.00,28.00,21.10,34.00,sandstone,0.34
3543.45,96.00,85.00,30.00,25.00,20.50,39.70,sandstone,0.397
3545.05,22.00,18.00,3.20,2.30,19.20,37.80,sandstone,0.378
3545.83,5.00,3.70,0.90,0.60,18.70,43.20,sandstone,0.432
3546.85,188.00,168.00,98.00,87.00,22.00,25.30,sandstone,0.253
3547.75,44.00,37.00,27.00,22.00,9.30,40.40,sandstone,0.404
3548.64,0.47,0.30,0.29,0.18,8.50,50.80,sandstone,0.508
3549.54,899.00,859.00,330.00,300.00,19.40,31.70,sandstone,0.317
3550.41,70.00,61.00,51.00,43.00,17.10,31.90,sandstone,0.319
3551.36,1071.00,1021.00,713.00,673.00,18.00,40.10,sandstone,0.401
3552.24,751.00,711.00,131.00,117.00,17.00,32.30,sandstone,0.323
3553.42,1123.00,1073.00,539.00,509.00,19.40,19.30,sandstone,0.193
3554.05,264.00,244.00,37.00,31.00,17.90,24.80,sandstone,0.248
3555.35,269.00,249.00,105.00,93.00,17.00,43.90,sandstone,0.439
3555.45,102.00,90.00,269.00,249.00,18.20,26.90,sandstone,0.269
3556.45,552.00,522.00,101.00,89.00,19.10,36.30,sandstone,0.363
3557.45,272.00,252.00,304.00,274.00,18.00,24.10,sandstone,0.241
3558.94,62.00,53.00,47.00,40.00,19.50,21.10,sandstone,0.211
3560.05,0.14,0.08,0.08,0.04,9.70,54.20,sandstone,0.542
3561.05,0.18,0.11,0.10,0.06,11.60,95.60,sandstone,0.956
3561.45,0.10,0.05,0.07,0.04,9.10,87.50,sandstone,0.875
3562.93,0.12,0.07,0.05,0.03,9.70,92.60,sandstone,0.926
3563.50,0.11,0.07,0.03,0.02,6.50,83.50,sandstone,0.835
3569.45,4.30,3.20,4.50,3.30,18.10,39.10,sandstone,0.391
3570.35,0.18,0.11,0.16,0.10,10.60,90.70,sandstone,0.907
3571.65,6.70,5.10,5.90,4.40,18.90,30.10,sandstone,0.301
3572.34,13.00,10.00,12.00,10.00,19.10,38.20,sandstone,0.382
3573.35,369.00,339.00,1.80,1.30,15.60,17.70,sandstone,0.177
3574.41,566.00,536.00,297.00,277.00,19.40,22.30,sandstone,0.223
3575.65,2.90,2.10,3.20,2.30,12.90,24.20,sandstone,0.242
3576.64,0.06,0.03,0.05,0.03,3.10,11.20,sandstone,0.112
3577.64,212.00,192.00,190.00,170.00,19.40,6.10,sandstone,0.061
3578.63,157.00,141.00,264.00,244.00,20.00,25.40,sandstone,0.254
3579.75,155.00,140.00,163.00,147.00,19.00,22.30,sandstone,0.223
3580.65,7.60,5.80,7.80,6.00,15.80,30.70,sandstone,0.307
3581.65,86.00,75.00,51.00,43.00,16.00,36.30,sandstone,0.363
3582.75,430.00,400.00,389.00,359.00,19.10,27.90,sandstone,0.279
3583.65,87.00,76.00,372.00,342.00,18.50,33.00,sandstone,0.33
3584.65,13.00,10.00,14.00,11.00,14.00,29.30,sandstone,0.293
3585.65,571.00,541.00,402.00,372.00,19.80,3.90,sandstone,0.039
3586.64,241.00,221.00,108.00,96.00,17.30,34.30,sandstone,0.343
3587.64,383.00,353.00,467.00,437.00,17.20,22.00,sandstone,0.22
3588.59,202.00,182.00,75.00,65.00,17.40,23.90,sandstone,0.239
3589.59,274.00,254.00,201.00,181.00,17.80,11.70,sandstone,0.117
3590.06,26.00,21.00,1.60,1.10,14.90,35.20,sandstone,0.352
3591.05,48.00,41.00,21.00,17.00,21.50,33.10,sandstone,0.331
3592.06,194.00,174.00,38.90,33.00,19.00,21.20,sandstone,0.212
3593.06,20.00,16.00,17.00,14.00,16.70,19.80,sandstone,0.198
3594.07,39.00,33.00,5.00,3.70,18.50,24.60,sandstone,0.246
3595.40,4.50,3.30,1.04,0.71,14.60,31.90,sandstone,0.319
3596.40,84.00,74.00,76.00,66.00,15.90,33.70,sandstone,0.337
3597.06,72.00,63.00,36.00,30.00,16.40,26.40,sandstone,0.264
3598.45,160.00,144.00,73.00,63.00,18.60,31.30,sandstone,0.313
3599.25,54.00,46.00,22.00,18.00,16.50,26.30,sandstone,0.263
3600.16,142.00,127.00,74.00,64.00,20.00,22.80,sandstone,0.228
3601.08,153.00,138.00,340.00,310.00,17.50,27.10,sandstone,0.271
3602.45,1.30,0.91,12.00,10.00,10.70,43.10,sandstone,0.431
3602.45,81.00,71.00,155.00,140.00,17.70,32.80,sandstone,0.328
3606.45,28.00,23.00,11.30,8.80,18.70,19.20,sandstone,0.192
3604.73,434.00,404.00,148.00,133.00,18.20,11.70,sandstone,0.117
3607.64,100.00,88.00,224.00,204.00,20.70,24.00,sandstone,0.24
3608.05,317.00,287.00,64.00,55.00,20.70,46.00,sandstone,0.46
3608.45,113.00,100.00,30.00,25.00,16.10,30.80,sandstone,0.308
3610.05,511.00,481.00,166.00,57.00,17.10,29.30,sandstone,0.293
3610.56,158.00,142.00,161.00,145.00,18.50,19.20,sandstone,0.192
3611.45,275.00,255.00,26.00,21.00,16.60,24.90,sandstone,0.249
3612.45,201.00,181.00,37.00,31.00,18.70,37.50,sandstone,0.375
3613.45,29.00,24.00,30.00,25.00,17.50,31.00,sandstone,0.31
3614.56,574.00,544.00,16.00,13.00,17.00,27.20,sandstone,0.272
3615.93,227.00,207.00,183.00,163.00,17.70,9.70,sandstone,0.097
3616.94,198.00,178.00,206.00,186.00,17.40,13.40,sandstone,0.134
3617.46,207.00,187.00,255.00,235.00,15.50,31.80,sandstone,0.318
3618.91,129.00,115.00,75.00,65.00,18.00,22.70,sandstone,0.227
3619.45,331.00,301.00,243.00,223.00,16.20,24.50,sandstone,0.245
3620.46,3.60,2.60,3.80,2.80,14.70,24.40,sandstone,0.244
3621.46,137.00,123.00,94.00,83.00,18.00,21.70,sandstone,0.217
3622.45,29.00,24.00,17.00,14.00,16.20,43.90,sandstone,0.439
3623.61,66.00,57.00,39.00,33.00,17.40,32.50,sandstone,0.325
3625.10,76.00,66.00,21.00,17.00,15.40,15.80,sandstone,0.158
3626.05,222.00,202.00,55.00,47.00,16.40,37.30,sandstone,0.373
3626.55,86.00,75.00,34.00,28.00,17.50,32.50,sandstone,0.325
3627.83,102.00,90.00,66.00,57.00,17.80,34.30,sandstone,0.343
3628.83,71.00,62.00,60.00,52.00,18.40,14.20,sandstone,0.142
3629.76,15.00,12.00,14.00,11.00,16.00,28.40,sandstone,0.284
3630.73,173.00,156.00,122.00,109.00,18.30,11.50,sandstone,0.115
3631.80,203.00,183.00,192.00,172.00,16.10,24.40,sandstone,0.244
3632.80,180.00,160.00,174.00,157.00,18.40,38.00,sandstone,0.38
3633.84,91.00,80.00,39.00,33.00,17.50,20.80,sandstone,0.208
